epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,132.132,3.44423,5.50319,1.80114,4e-05,0.0018,3e-05,2e-05,3.15186,4.83479,1.3671,0.000462324,0.000462324,0.000462324
2,255.598,3.31593,4.27199,1.47417,0.72207,0.01471,0.01075,0.00632,3.04742,4.36259,1.51655,0.000907681,0.000907681,0.000907681
3,390.767,3.29786,3.97037,1.40084,0.79884,0.04902,0.05029,0.02662,3.08794,3.93482,1.47996,0.0013216,0.0013216,0.0013216
4,539.005,3.19221,3.70276,1.41076,0.47395,0.08028,0.06592,0.03871,2.93299,3.56122,1.37415,0.00128753,0.00128753,0.00128753
5,689.104,3.15342,3.6084,1.36933,0.34438,0.07445,0.0707,0.03798,2.85754,3.45966,1.34338,0.00124037,0.00124037,0.00124037
6,819.412,3.07931,3.40258,1.36763,0.22933,0.12646,0.09168,0.05029,2.94208,3.32287,1.37265,0.00119322,0.00119322,0.00119322
7,957.635,3.06206,3.31206,1.34783,0.59978,0.10877,0.10313,0.05739,2.85486,3.12233,1.32307,0.00114606,0.00114606,0.00114606
8,1108.76,2.9623,3.11113,1.32,0.80929,0.10994,0.12659,0.07114,2.7974,3.2123,1.35253,0.0010989,0.0010989,0.0010989
9,1255.35,2.9762,3.04546,1.3338,0.33168,0.16653,0.14038,0.07389,2.74498,2.84659,1.32452,0.00105174,0.00105174,0.00105174
10,1393.63,2.85844,2.95594,1.31893,0.80965,0.11275,0.13819,0.07396,2.72583,3.13317,1.33563,0.00100459,0.00100459,0.00100459
11,1539.43,2.82897,2.87784,1.30664,0.41352,0.13861,0.13433,0.07001,2.80291,2.95851,1.31296,0.00095743,0.00095743,0.00095743
12,1701.26,2.81334,2.84628,1.28356,0.2741,0.14941,0.13666,0.07685,2.69105,2.70004,1.277,0.000910273,0.000910273,0.000910273
13,1858.42,2.76269,2.74259,1.2786,0.31522,0.18847,0.16129,0.08924,2.75905,2.71564,1.35128,0.000863116,0.000863116,0.000863116
14,2000.19,2.78993,2.67717,1.27068,0.33312,0.21301,0.19566,0.11368,2.64082,2.63799,1.28269,0.000815959,0.000815959,0.000815959
15,2150.5,2.77286,2.68739,1.25934,0.30001,0.2325,0.19975,0.11397,2.59666,2.57123,1.29679,0.000768802,0.000768802,0.000768802
16,2310.29,2.70882,2.60399,1.24913,0.28461,0.22407,0.20691,0.11962,2.57553,2.52061,1.25021,0.000721645,0.000721645,0.000721645
17,2457.22,2.63339,2.50303,1.24478,0.39085,0.19399,0.21047,0.12253,2.5267,2.50833,1.23135,0.000674488,0.000674488,0.000674488
18,2600.22,2.7691,2.57757,1.2385,0.37471,0.1894,0.19469,0.10538,2.67396,2.61918,1.23788,0.000627331,0.000627331,0.000627331
19,2744.97,2.63275,2.44451,1.20366,0.63349,0.20105,0.20841,0.12342,2.55935,2.62321,1.24893,0.000580174,0.000580174,0.000580174
20,2893.54,2.61025,2.47481,1.22928,0.36648,0.21889,0.2213,0.12471,2.58826,2.50146,1.24125,0.000533017,0.000533017,0.000533017
21,3042.82,2.50372,2.45989,1.23253,0.30057,0.25014,0.22671,0.13321,2.56583,2.4083,1.24325,0.00048586,0.00048586,0.00048586
22,3190.49,2.49356,2.38171,1.21708,0.52693,0.17546,0.22256,0.12506,2.60379,2.39117,1.23466,0.000438703,0.000438703,0.000438703
23,3343.29,2.477,2.36417,1.21815,0.35346,0.19433,0.19388,0.11248,2.57585,2.44174,1.227,0.000391546,0.000391546,0.000391546
24,3501.82,2.41352,2.29551,1.19838,0.37923,0.19596,0.2122,0.12189,2.56437,2.41398,1.23738,0.000344389,0.000344389,0.000344389
25,3664.1,2.36869,2.24071,1.19718,0.32629,0.2529,0.23289,0.12973,2.48636,2.33408,1.22623,0.000297232,0.000297232,0.000297232
26,3817.35,2.39724,2.20058,1.18818,0.30613,0.26935,0.23577,0.13018,2.50877,2.28708,1.22584,0.000250075,0.000250075,0.000250075
27,3969.73,2.39529,2.25745,1.17959,0.31299,0.26125,0.23394,0.12679,2.52999,2.28981,1.22485,0.000202918,0.000202918,0.000202918
28,4112.59,2.36134,2.17666,1.17506,0.33107,0.24527,0.23823,0.13463,2.50544,2.27295,1.22146,0.000155761,0.000155761,0.000155761
29,4257.46,2.36121,2.17132,1.16527,0.32856,0.25932,0.238,0.13685,2.45499,2.25337,1.21428,0.000108604,0.000108604,0.000108604
30,4410.88,2.31506,2.11349,1.17566,0.31847,0.25932,0.23952,0.13852,2.44988,2.27058,1.21424,6.1447e-05,6.1447e-05,6.1447e-05
